Username,Followers,Follows,Posts,Private,ExternalURL,mutuals,followback
inst1,240288,26,563,FALSE,yes,1,0
inst2,36526536,102,852,FALSE,yes,35,0
inst3,50306889,28,19963,FALSE,yes,28,0
inst4,9,42,0,FALSE,no,0,0
inst5,1011,222,47,TRUE,no,0,0
inst6,169,36,2,FALSE,no,0,0
inst7,538,118,144,FALSE,no,0,1
inst8,214,354,15,TRUE,no,24,1
inst9,113,184,126,TRUE,yes,22,1
inst10,265,479,57,FALSE,no,24,1
inst11,179,266,32,FALSE,no,34,1
inst12,115494,436,739,FALSE,no,0,0
inst13,900238,372,170,FALSE,no,6,0
inst14,639583,7,2850,FALSE,yes,1,0
inst15,348438,3,1144,FALSE,yes,2,0
inst16,44494340,84,2644,FALSE,yes,11,0
inst17,5,0,0,FALSE,no,13,1
inst18,295,323,47,TRUE,no,14,1
inst19,623,1535,47,TRUE,no,18,1
inst20,277,212,45,TRUE,no,22,1
inst21,3670002,244,777,FALSE,yes,19,0
inst22,3771272,984,3965,FALSE,yes,13,0
inst23,940,268,227,TRUE,yes,18,1
inst24,7500,2594,227,FALSE,no,1,1
inst25,392,319,80,TRUE,no,0,1
inst26,313,45,59,FALSE,no,15,0
inst27,223,338,74,TRUE,no,17,1
inst28,209,298,75,TRUE,no,10,1
inst29,170,265,38,TRUE,no,28,1
inst30,313,694,88,TRUE,no,18,0
inst31,246,707,16,FALSE,no,1,1
inst32,261,905,361,FALSE,no,0,1
inst33,231,1189,61,TRUE,no,0,1
inst34,153398,94,107,FALSE,no,2,0
inst35,2556,2118,248,TRUE,yes,1,1
inst36,200,196,21,FALSE,no,1,0
inst37,420,635,159,TRUE,no,1,0
inst38,323,287,18,TRUE,no,1,0
inst39,204,306,0,TRUE,no,2,0
inst40,99,106,20,TRUE,no,1,0
inst41,348,149,84,FALSE,no,19,0
inst42,133,179,112,TRUE,no,8,0
inst43,180,203,15,TRUE,no,17,1
inst44,437,488,192,TRUE,no,19,1
inst45,208,181,70,TRUE,no,1,0
inst46,691,1054,230,TRUE,no,1,0
inst47,184,171,17,TRUE,yes,0,0
inst48,326,131,116,FALSE,no,0,1
inst49,49,97,182,TRUE,no,0,0
inst50,217,209,52,TRUE,no,0,1
inst51,20,18,39,TRUE,no,0,0
inst52,184,19,27,TRUE,no,1,0
inst53,182,140,60,TRUE,no,4,0
inst54,232,114,6,FALSE,no,2,0
inst55,56,102,29,TRUE,no,0,0
inst56,144,847,231,FALSE,no,0,1
inst57,169,208,15,FALSE,no,0,0
inst58,357,353,31,FALSE,no,2,0
inst59,732,326,158,FALSE,no,0,1
inst60,1159751,626,794,FALSE,yes,2,0
inst61,1484928,253,714,FALSE,yes,0,0
inst62,2918078,575,2166,FALSE,yes,1,0
inst63,9500,141,44,FALSE,yes,0,0
inst64,5621,3907,183,FALSE,yes,3,1
inst65,2717,1883,311,FALSE,no,3,0
inst66,5667,2352,133,FALSE,yes,2,1
inst67,515,393,196,TRUE,no,1,0
inst68,240288,26,563,FALSE,yes,1,0
inst69,36526536,102,852,FALSE,yes,35,0
inst70,50306889,28,19963,FALSE,yes,28,0
inst71,9,42,0,FALSE,no,0,0
inst71,1011,222,47,TRUE,no,0,0
inst73,169,36,2,FALSE,no,0,0
inst74,538,118,144,FALSE,no,0,1
inst75,214,354,15,TRUE,no,24,1
inst76,113,184,126,TRUE,yes,22,1
inst77,265,479,57,FALSE,no,24,1
inst78,179,266,32,FALSE,no,34,1
inst79,115494,436,739,FALSE,no,0,0
inst80,900238,372,170,FALSE,no,6,0
inst81,639583,7,2850,FALSE,yes,1,0
inst82,348438,3,1144,FALSE,yes,2,0
inst83,44494340,84,2644,FALSE,yes,11,0
inst84,5,0,0,FALSE,no,13,1
inst85,295,323,47,TRUE,no,14,1
inst86,623,1535,47,TRUE,no,18,1
inst87,277,212,45,TRUE,no,22,1
inst88,3670002,244,777,FALSE,yes,19,0
inst89,3771272,984,3965,FALSE,yes,13,0
inst90,940,268,227,TRUE,yes,18,1
inst91,7500,2594,227,FALSE,no,1,1
inst92,392,319,80,TRUE,no,0,1
inst93,313,45,59,FALSE,no,15,0
inst94,223,338,74,TRUE,no,17,1
inst95,209,298,75,TRUE,no,10,1
inst96,170,265,38,TRUE,no,28,1
inst97,313,694,88,TRUE,no,18,0
inst98,246,707,16,FALSE,no,1,1
inst99,261,905,361,FALSE,no,0,1
inst100,231,1189,61,TRUE,no,0,1
inst101,153398,94,107,FALSE,no,2,0
inst102,2556,2118,248,TRUE,yes,1,1
inst103,200,196,21,FALSE,no,1,0
inst104,420,635,159,TRUE,no,1,0
inst105,323,287,18,TRUE,no,1,0
inst106,204,306,0,TRUE,no,2,0
inst107,99,106,20,TRUE,no,1,0
inst108,348,149,84,FALSE,no,19,0
inst109,133,179,112,TRUE,no,8,0
inst110,180,203,15,TRUE,no,17,1
inst111,437,488,192,TRUE,no,19,1
inst112,208,181,70,TRUE,no,1,0
inst113,691,1054,230,TRUE,no,1,0
inst114,184,171,17,TRUE,yes,0,0
inst115,326,131,116,FALSE,no,0,1
inst116,49,97,182,TRUE,no,0,0
inst117,217,209,52,TRUE,no,0,1
inst118,20,18,39,TRUE,no,0,0
inst119,184,19,27,TRUE,no,1,0
inst120,182,140,60,TRUE,no,4,0
inst121,232,114,6,FALSE,no,2,0
inst122,56,102,29,TRUE,no,0,0
inst123,144,847,231,FALSE,no,0,1
inst124,169,208,15,FALSE,no,0,0
inst125,357,353,31,FALSE,no,2,0
inst126,732,326,158,FALSE,no,0,1
inst127,1159751,626,794,FALSE,yes,2,0
inst128,1484928,253,714,FALSE,yes,0,0
inst129,2918078,575,2166,FALSE,yes,1,0
inst130,9500,141,44,FALSE,yes,0,0
inst131,5621,3907,183,FALSE,yes,3,1
inst132,2717,1883,311,FALSE,no,3,0
inst133,5667,2352,133,FALSE,yes,2,1
inst134,515,393,196,TRUE,no,1,0
inst135,181,582,34,TRUE,no,21,0
inst136,113,136,29,TRUE,no,19,0
inst137,228,549,4,FALSE,no,10,1
inst138,85,210,53,TRUE,no,21,1
inst139,4270,2250,276,FALSE,yes,1,0
inst140,200,196,21,FALSE,no,1,0
inst141,420,635,159,TRUE,no,1,0
inst142,323,287,18,TRUE,no,1,0
inst143,6762,286,143,FALSE,yes,0,0
inst144,2392,1188,654,FALSE,yes,1,0
inst145,659005,6,7889,TRUE,yes,0,0
inst146,1392,361,52,FALSE,no,0,0
inst147,332,218,81,FALSE,no,0,0
inst148,800,375,41,TRUE,yes,0,0
inst149,366,489,60,TRUE,no,0,0
inst150,717,1011,466,TRUE,no,0,0
inst151,52,7,0,FALSE,no,0,0
inst152,273,294,180,TRUE,no,0,0
inst153,873,602,860,FALSE,no,1,0
inst154,17,54,42,FALSE,no,1,0
inst155,266,259,26,FALSE,yes,1,0
inst156,828,2285,2724,FALSE,no,1,0
inst157,9,35,1,FALSE,no,0,0
inst158,6126,5428,257,FALSE,no,0,0
inst159,222,353,278,TRUE,no,0,0
inst160,643,351,166,TRUE,no,0,0
inst161,247,242,95,TRUE,no,0,0
inst162,562,782,136,TRUE,no,0,0
inst163,387,724,329,TRUE,no,0,0
inst164,616,654,132,TRUE,no,0,0
inst165,228,549,4,FALSE,no,10,1
inst166,85,210,53,TRUE,no,21,1
inst167,4270,2250,276,FALSE,yes,1,0
inst168,200,196,21,FALSE,no,1,0
inst169,420,635,159,TRUE,no,1,0
inst170,323,287,18,TRUE,no,1,0
inst171,6762,286,143,FALSE,yes,0,0
inst172,2392,1188,654,FALSE,yes,1,0
